"_time","offset_v",image,name,pid,ppid,hnds,thrds,sess,start,wow64
1522890531,2185005104,sample001,System,4,0,271,,"-1",,0
1353981448,2181764024,sample001,"mdd.exe",244,1796,24,,0,"2012-11-27 01:57:28 UTC+0000",0
1353981381,2183989288,sample001,"cmd.exe",1796,284,33,,0,"2012-11-27 01:56:21 UTC+0000",0
1353979800,2181338768,sample001,"wc.exe",364,1024,27,,0,"2012-11-27 01:30:00 UTC+0000",0
1353967593,2183130528,sample001,"msimn.exe",1984,284,359,,0,"2012-11-26 22:06:33 UTC+0000",0
1353967483,2181324192,sample001,"wuauclt.exe",1628,1024,142,,0,"2012-11-26 22:04:43 UTC+0000",0
1353967443,2183399632,sample001,"ctfmon.exe",556,284,75,,0,"2012-11-26 22:04:03 UTC+0000",0
1353967443,2183292496,sample001,"msmsgs.exe",548,284,204,,0,"2012-11-26 22:04:03 UTC+0000",0
1353967438,2181361696,sample001,"explorer.exe",284,244,372,,0,"2012-11-26 22:03:58 UTC+0000",0
1353967415,2181283872,sample001,"alg.exe",1888,680,105,,0,"2012-11-26 22:03:35 UTC+0000",0
1353967414,2184091392,sample001,"spoolsv.exe",1348,680,105,,0,"2012-11-26 22:03:34 UTC+0000",0
1353967413,2182757392,sample001,"svchost.exe",1116,680,248,,0,"2012-11-26 22:03:33 UTC+0000",0
1353967412,2182767328,sample001,"svchost.exe",1068,680,81,,0,"2012-11-26 22:03:32 UTC+0000",0
1353967412,2181774752,sample001,"svchost.exe",1024,680,1645,,0,"2012-11-26 22:03:32 UTC+0000",0
1353967411,2182687504,sample001,"svchost.exe",940,680,258,,0,"2012-11-26 22:03:31 UTC+0000",0
1353967411,2182734536,sample001,"svchost.exe",852,680,187,,0,"2012-11-26 22:03:31 UTC+0000",0
1353967410,2183413792,sample001,"lsass.exe",692,628,407,,0,"2012-11-26 22:03:30 UTC+0000",0
1353967410,2182694480,sample001,"services.exe",680,628,243,,0,"2012-11-26 22:03:30 UTC+0000",0
1353967409,2182651296,sample001,"winlogon.exe",628,356,653,,0,"2012-11-26 22:03:29 UTC+0000",0
1353967409,2182807584,sample001,"csrss.exe",604,356,351,,0,"2012-11-26 22:03:29 UTC+0000",0
1353967408,2182627784,sample001,"smss.exe",356,4,19,,"-1","2012-11-26 22:03:28 UTC+0000",0
