name,pid,csrss,"desk_thrd",pslist,pspcid,psscan,session,"thrd_proc"
"winlogon.exe",628,False,False,False,False,True,False,False
"csrss.exe",604,False,False,False,False,True,False,False
"explorer.exe",284,False,False,False,False,True,False,False
"cmd.exe",1796,False,False,False,False,True,False,False
"wuauclt.exe",1628,False,False,False,False,True,False,False
"msmsgs.exe",548,False,False,False,False,True,False,False
"svchost.exe",940,False,False,False,False,True,False,False
"msimn.exe",1984,False,False,False,False,True,False,False
"svchost.exe",1068,False,False,False,False,True,False,False
"svchost.exe",1024,False,False,False,False,True,False,False
"msimn.exe",1984,False,False,False,False,True,False,False
"mdd.exe",244,False,False,False,False,True,False,False
"wc.exe",364,False,False,False,False,True,False,False
"svchost.exe",1116,False,False,False,False,True,False,False
"svchost.exe",1024,False,False,False,False,True,False,False
"ctfmon.exe",556,False,False,False,False,True,False,False
"services.exe",684,False,False,False,False,True,False,True
"alg.exe",1888,False,False,False,False,True,False,False
"svchost.exe",852,False,False,False,False,True,False,False
"services.exe",680,False,False,False,False,True,False,False
System,4,False,False,False,False,True,False,False
"svchost.exe",852,False,False,False,False,True,False,False
"services.exe",684,False,False,False,False,True,False,False
"spoolsv.exe",1348,False,False,False,False,True,False,False
System,4,False,False,True,True,True,False,True
"smss.exe",356,False,False,True,True,True,False,True
"csrss.exe",604,False,True,True,True,True,True,True
"svchost.exe",940,True,True,True,True,True,True,True
"svchost.exe",1068,True,True,True,True,True,True,True
"spoolsv.exe",1348,True,True,True,True,True,True,True
"wc.exe",364,True,True,True,True,True,True,True
"msmsgs.exe",548,True,True,True,True,True,True,True
"wuauclt.exe",1628,True,True,True,True,True,True,True
"alg.exe",1888,True,True,True,True,True,True,True
"msimn.exe",1984,True,True,True,True,True,True,True
"cmd.exe",1796,True,True,True,True,True,True,True
"services.exe",680,True,True,True,True,True,True,True
"ctfmon.exe",556,True,True,True,True,True,True,True
"explorer.exe",284,True,True,True,True,True,True,True
"svchost.exe",852,True,True,True,True,True,True,True
"lsass.exe",692,True,True,True,True,True,True,True
"svchost.exe",1116,True,True,True,True,True,True,True
"mdd.exe",244,True,True,True,True,True,True,True
"svchost.exe",1024,True,True,True,True,True,True,True
"winlogon.exe",628,True,True,True,True,True,True,True
